"URN","Linked UID","Group Name","Companies House Number","Group Type","Closed Date","Group Status","FederationType","Joined date","EstablishmentName","TypeOfEstablishment (code)","TypeOfEstablishment (name)","PhaseOfEducation (code)","PhaseOfEducation (name)","LA (code)","LA (name)","HasSharedHT"
105135,2150,"Archdiocese of Southwark","","School sponsor","","Open","","01-09-2005","St Paul's Academy","28","Academy sponsor led","4","Secondary","203","Greenwich"
105135,4782,"ST PAUL'S ACADEMY LIMITED","05210075","Single-academy trust","","Open","","01-09-2005","St Paul's Academy","28","Academy sponsor led","4","Secondary","203","Greenwich"
129342,16243,"TOVE LEARNING TRUST","07525820","Multi-academy trust","","Open","Hard","01-04-2019","Grace Academy Solihull","28","Academy sponsor led","4","Secondary","334","Solihull"
129342,4612,"Tove Learning Trust","","School sponsor","","Open","Hard","01-04-2019","Grace Academy Solihull","28","Academy sponsor led","4","Secondary","334","Solihull"
130247,5315,"THE WHITE HORSE FEDERATION","08075785","Multi-academy trust","","Open","Hard","01-02-2018","John Madejski Academy","28","Academy sponsor led","4","Secondary","870","Reading"
130247,5044,"The White Horse Federation","","School sponsor","","Open","Hard","01-02-2018","John Madejski Academy","28","Academy sponsor led","4","Secondary","870","Reading"
130908,3036,"Endeavour Academies Trust","","School sponsor","","Open","","01-09-2005","Macmillan Academy","28","Academy sponsor led","4","Secondary","806","Middlesbrough"
130908,16930,"ENDEAVOUR ACADEMIES TRUST","02236171","Multi-academy trust","","Open","Hard","01-09-2005","Macmillan Academy","28","Academy sponsor led","4","Secondary","806","Middlesbrough"
130909,2937,"Dixons Academy Trust","","School sponsor","","Open","","01-09-2005","Dixons City Academy","28","Academy sponsor led","4","Secondary","380","Bradford"
130909,2939,"DIXONS ACADEMIES CHARITABLE TRUST LTD","02303464","Multi-academy trust","","Open","","01-09-2005","Dixons City Academy","28","Academy sponsor led","4","Secondary","380","Bradford"
130912,5142,"United Learning Trust","","School sponsor","","Open","","01-09-2006","Paddington Academy","28","Academy sponsor led","4","Secondary","213","Westminster"
130912,5143,"UNITED LEARNING TRUST","04439859","Multi-academy trust","","Open","","01-09-2006","Paddington Academy","28","Academy sponsor led","4","Secondary","213","Westminster"
131062,3549,"Jack Petchey","","School sponsor","","Open","","01-09-2006","The Petchey Academy","28","Academy sponsor led","4","Secondary","204","Hackney"
131062,4190,"PETCHEY ACADEMY","05342164","Single-academy trust","","Open","","01-09-2006","The Petchey Academy","28","Academy sponsor led","4","Secondary","204","Hackney"
131065,4041,"NORTHERN SCHOOLS TRUST","05067702","Multi-academy trust","","Open","","01-09-2006","North Liverpool Academy","28","Academy sponsor led","4","Secondary","341","Liverpool"
131065,4040,"Northern Schools Trust","","School sponsor","","Open","Hard","01-09-2006","North Liverpool Academy","28","Academy sponsor led","4","Secondary","341","Liverpool"
131262,3068,"Exilarch's Foundation","","School sponsor","","Open","","01-09-2006","Westminster Academy","28","Academy sponsor led","4","Secondary","213","Westminster"
131262,5295,"THE WESTMINSTER ACADEMY (WESTBOURNE GREEN)","05102934","Single-academy trust","","Open","","01-09-2006","Westminster Academy","28","Academy sponsor led","4","Secondary","213","Westminster"
131609,2428,"THE BRIDGE ACADEMY, HACKNEY","05195911","Single-academy trust","","Open","","06-09-2007","The Bridge Academy","28","Academy sponsor led","4","Secondary","204","Hackney"
131609,5138,"UBS","","School sponsor","","Open","","06-09-2007","The Bridge Academy","28","Academy sponsor led","4","Secondary","204","Hackney"
131747,3319,"Harris Federation","","School sponsor","","Open","","01-09-2006","Harris Academy Bermondsey","28","Academy sponsor led","4","Secondary","210","Southwark"
131747,3320,"HARRIS FEDERATION","06228587","Multi-academy trust","","Open","","26-04-2007","Harris Academy Bermondsey","28","Academy sponsor led","4","Secondary","210","Southwark"
131749,5142,"United Learning Trust","","School sponsor","","Open","","01-09-2006","Barnsley Academy","28","Academy sponsor led","4","Secondary","370","Barnsley"
131749,5143,"UNITED LEARNING TRUST","04439859","Multi-academy trust","","Open","","01-09-2006","Barnsley Academy","28","Academy sponsor led","4","Secondary","370","Barnsley"
131752,2157,"ARK SCHOOLS","05112090","Multi-academy trust","","Open","","01-09-2006","Ark Burlington Danes Academy","28","Academy sponsor led","7","All through","205","Hammersmith and Fulham"
131752,2156,"ARK Schools","","School sponsor","","Open","","01-09-2006","Ark Burlington Danes Academy","28","Academy sponsor led","7","All through","205","Hammersmith and Fulham"
